sample_id,predicted_class,confidence
CGVA_0174,leaf_spot,0.8821
CGVA_0180,leaf_spot,0.8821
CGVA_0186,leaf_spot,0.8821
CGVA_0192,leaf_spot,0.8821
CGVA_0198,leaf_spot,0.8821
CGVA_0204,leaf_spot,0.8821
CGVA_0210,leaf_spot,0.8821
CGVA_0216,leaf_spot,0.8821
CGVA_0222,mosaic,0.7388414
CGVA_0228,mosaic,0.8821
CGVA_0234,leaf_spot,0.8821
CGVA_0004,mildew,0.7958056
CGVA_0010,mildew,0.8821
CGVA_0016,mosaic,0.7229081
CGVA_0022,leaf_spot,0.6312708
CGVA_0028,mosaic,0.8821
CGVA_0034,mildew,0.8821
CGVA_0040,mildew,0.8821
CGVA_0046,mildew,0.8821
CGVA_0052,mildew,0.8329905
CGVA_0058,mildew,0.8821
CGVA_0064,mildew,0.8821
CGVA_0070,mosaic,0.4300909
CGVA_0076,mildew,0.8821
CGVA_0082,mosaic,0.7174745
CGVA_0088,mosaic,0.8682233
CGVA_0094,mildew,0.8821
CGVA_0100,mildew,0.87602353
CGVA_0106,mildew,0.8821
CGVA_0112,mosaic,0.7149826
CGVA_0118,mildew,0.8821
CGVA_0124,mosaic,0.8821
CGVA_0130,mildew,0.8821
CGVA_0136,mildew,0.8821
CGVA_0142,mildew,0.8821
CGVA_0148,mosaic,0.8755117
CGVA_0154,mildew,0.8821
CGVA_0160,mosaic,0.8821
CGVA_0166,mildew,0.8821
CGVA_0172,mildew,0.8821
CGVA_0178,mildew,0.8172555
CGVA_0184,mildew,0.8821
CGVA_0190,mildew,0.4923616
CGVA_0196,mosaic,0.78503317
CGVA_0202,mosaic,0.8821
CGVA_0208,mildew,0.8821
CGVA_0214,mosaic,0.8821
CGVA_0220,mildew,0.8821
CGVA_0226,mildew,0.8703247
CGVA_0232,mildew,0.8821
CGVA_0238,mildew,0.8821
CGVA_0003,mosaic,0.8821
CGVA_0009,mosaic,0.8821
CGVA_0015,mosaic,0.8821
CGVA_0021,mosaic,0.8821
CGVA_0027,mosaic,0.5034998
CGVA_0033,mosaic,0.8821
CGVA_0039,mosaic,0.8821
CGVA_0045,mosaic,0.8821
CGVA_0051,mosaic,0.8054147
CGVA_0057,mosaic,0.8821
CGVA_0063,mosaic,0.8821
CGVA_0069,mosaic,0.8821
CGVA_0075,mosaic,0.8821
CGVA_0081,mosaic,0.8821
CGVA_0087,mosaic,0.8821
CGVA_0093,mosaic,0.8821
CGVA_0099,mosaic,0.8821
CGVA_0105,mosaic,0.8821
CGVA_0111,mosaic,0.8821
CGVA_0117,mosaic,0.50759315
CGVA_0123,mosaic,0.8821
CGVA_0129,mosaic,0.8821
CGVA_0135,mosaic,0.8821
CGVA_0141,mosaic,0.8821
CGVA_0147,mosaic,0.8821
CGVA_0153,mosaic,0.8821
CGVA_0159,mosaic,0.8821
CGVA_0165,mosaic,0.8821
CGVA_0171,mosaic,0.8821
CGVA_0177,mosaic,0.8821
CGVA_0183,mosaic,0.8821
CGVA_0189,mosaic,0.8821
CGVA_0195,mosaic,0.8821
CGVA_0201,mosaic,0.8821
CGVA_0207,mosaic,0.8821
CGVA_0213,mosaic,0.7769981
CGVA_0219,mosaic,0.8821
CGVA_0225,mosaic,0.46891606
CGVA_0231,mosaic,0.8821
CGVA_0237,mosaic,0.8821
CGVA_0001,rust,0.8821
CGVA_0007,rust,0.8821
CGVA_0013,rust,0.8631344
CGVA_0019,rust,0.8821
CGVA_0025,rust,0.8299415
CGVA_0031,rust,0.8821
CGVA_0037,rust,0.8821
CGVA_0043,rust,0.8821
CGVA_0049,rust,0.8821
CGVA_0055,rust,0.7833505
CGVA_0061,rust,0.8821
CGVA_0067,rust,0.8821
CGVA_0073,mosaic,0.7650647
CGVA_0079,rust,0.8821
CGVA_0085,mosaic,0.8821
CGVA_0091,rust,0.8821
CGVA_0097,mosaic,0.8821
CGVA_0103,rust,0.8821
CGVA_0109,rust,0.8821
CGVA_0115,rust,0.8821
CGVA_0121,rust,0.8821
CGVA_0127,rust,0.8821
CGVA_0133,rust,0.8821
CGVA_0139,rust,0.8821
CGVA_0145,rust,0.8821
CGVA_0151,rust,0.8821
CGVA_0157,rust,0.8821
CGVA_0163,rust,0.8821
CGVA_0169,rust,0.8821
CGVA_0175,rust,0.8821
CGVA_0181,rust,0.8821
CGVA_0187,rust,0.8821
CGVA_0193,rust,0.8821
CGVA_0199,rust,0.8821
CGVA_0205,rust,0.8821
CGVA_0211,rust,0.8821
CGVA_0217,rust,0.8821
CGVA_0223,rust,0.8821
CGVA_0229,rust,0.8821
CGVA_0235,rust,0.8821
